# generated_at: 2026-05-16T00:15:01Z, dataset_version: v202605160010, source: internetinmyanmar.com/data
period,measurement_start_day,measurement_count,anomaly_count,anomaly_rate,confirmed_count,failure_count,ok_count
2021-02-01,2021-02-01,443319,56286,12.7,0,30947,356086
2021-03-01,2021-03-01,111902,12460,11.1,0,1909,97533
2021-04-01,2021-04-01,84416,8796,10.4,0,823,74797
2021-05-01,2021-05-01,95332,9730,10.2,0,2863,82739
2021-06-01,2021-06-01,85527,8322,9.7,7,2715,74483
2021-07-01,2021-07-01,73183,7504,10.3,42,2817,62820
2021-08-01,2021-08-01,37131,4436,11.9,64,710,31921
2021-09-01,2021-09-01,51398,5198,10.1,65,889,45246
2021-10-01,2021-10-01,110975,10224,9.2,208,1490,99053
2021-11-01,2021-11-01,89181,8130,9.1,160,2174,78717
2021-12-01,2021-12-01,167958,13951,8.3,292,1988,151727
2022-01-01,2022-01-01,188028,17159,9.1,404,2621,167844
2022-02-01,2022-02-01,214773,18676,8.7,296,2838,192963
2022-03-01,2022-03-01,111927,11055,9.9,366,2349,98157
2022-04-01,2022-04-01,82205,9386,11.4,159,1097,71563
2022-05-01,2022-05-01,111241,11010,9.9,194,774,99263
2022-06-01,2022-06-01,149868,18123,12.1,256,868,130621
2022-07-01,2022-07-01,137869,12488,9.1,367,2342,122672
2022-08-01,2022-08-01,162445,13935,8.6,231,5061,143218
2022-09-01,2022-09-01,138941,11868,8.5,155,5657,121261
2022-10-01,2022-10-01,101930,7052,6.9,63,7681,87134
2022-11-01,2022-11-01,105485,6880,6.5,124,7701,90780
2022-12-01,2022-12-01,94708,6734,7.1,168,5030,82776
2023-01-01,2023-01-01,92201,6586,7.1,127,4517,80971
2023-02-01,2023-02-01,79670,6928,8.7,168,4602,67972
2023-03-01,2023-03-01,87418,6111,7.0,406,6310,74591
2023-04-01,2023-04-01,45539,4204,9.2,96,3595,37644
2023-05-01,2023-05-01,77930,6990,9.0,205,3814,66921
2023-06-01,2023-06-01,72599,6724,9.3,332,2913,62630
2023-07-01,2023-07-01,63366,6076,9.6,394,3263,53633
2023-08-01,2023-08-01,68358,6729,9.8,525,4083,57021
2023-09-01,2023-09-01,59474,6691,11.3,580,2444,49759
2023-10-01,2023-10-01,48413,4714,9.7,205,1716,41778
2023-11-01,2023-11-01,44384,3929,8.9,446,1638,38371
2023-12-01,2023-12-01,52760,3821,7.2,479,2016,46444
2024-01-01,2024-01-01,83551,15652,18.7,106,2966,64827
2024-02-01,2024-02-01,85141,16773,19.7,88,3150,65130
2024-03-01,2024-03-01,40998,4065,9.9,142,3158,33633
2024-04-01,2024-04-01,42565,5852,13.7,82,1364,35267
2024-05-01,2024-05-01,41808,5995,14.3,77,1203,34533
2024-06-01,2024-06-01,88302,23864,27.0,71,3677,60690
2024-07-01,2024-07-01,95410,26307,27.6,77,2864,66162
2024-08-01,2024-08-01,69033,22288,32.3,399,1741,44605
2024-09-01,2024-09-01,94296,28848,30.6,1061,2760,61627
2024-10-01,2024-10-01,124836,32383,25.9,1470,4426,86557
2024-11-01,2024-11-01,99724,26713,26.8,1492,2257,69262
2024-12-01,2024-12-01,64056,13713,21.4,1268,1495,47580
2025-01-01,2025-01-01,40866,8110,19.8,826,904,31026
2025-02-01,2025-02-01,47131,9120,19.4,910,1116,35985
2025-03-01,2025-03-01,36632,6840,18.7,198,1025,28569
2025-04-01,2025-04-01,41806,8417,20.1,19,1694,31676
2025-05-01,2025-05-01,54772,10618,19.4,69,2059,42026
2025-06-01,2025-06-01,34893,8197,23.5,2,1628,25066
2025-07-01,2025-07-01,41184,8688,21.1,13,1089,31394
2025-08-01,2025-08-01,71137,14381,20.2,159,2759,53838
2025-09-01,2025-09-01,50761,9614,18.9,128,4007,37012
2025-10-01,2025-10-01,36030,7830,21.7,109,1083,27008
2025-11-01,2025-11-01,29055,6730,23.2,233,1124,20968
2025-12-01,2025-12-01,25227,4691,18.6,186,1023,19327
2026-01-01,2026-01-01,66856,13772,20.6,227,2801,50056
2026-02-01,2026-02-01,43721,6971,15.9,615,3320,32815
2026-03-01,2026-03-01,31030,3797,12.2,466,1804,24963
2026-03-28,2026-03-28,837,79,9.4,0,30,728
2026-03-29,2026-03-29,1133,174,15.4,21,34,904
2026-03-30,2026-03-30,1372,231,16.8,7,46,1088
2026-03-31,2026-03-31,1582,271,17.1,2,58,1251
2026-04-01,2026-04-01,1514,161,10.6,6,40,1307
2026-04-02,2026-04-02,1968,226,11.5,28,62,1652
2026-04-03,2026-04-03,2151,442,20.5,10,107,1592
2026-04-04,2026-04-04,466,70,15.0,14,14,368
2026-04-05,2026-04-05,1000,178,17.8,7,26,789
2026-04-06,2026-04-06,800,71,8.9,0,29,700
2026-04-07,2026-04-07,1428,141,9.9,0,32,1255
2026-04-08,2026-04-08,1147,101,8.8,0,35,1011
2026-04-09,2026-04-09,1073,144,13.4,16,41,872
2026-04-10,2026-04-10,1857,136,7.3,17,69,1635
2026-04-11,2026-04-11,1696,117,6.9,0,55,1524
2026-04-12,2026-04-12,1646,166,10.1,0,116,1364
2026-04-13,2026-04-13,1585,201,12.7,1,70,1313
2026-04-14,2026-04-14,2845,517,18.2,0,116,2212
2026-04-15,2026-04-15,3878,555,14.3,49,174,3100
2026-04-16,2026-04-16,2567,398,15.5,0,131,2038
2026-04-17,2026-04-17,3084,679,22.0,0,176,2229
2026-04-18,2026-04-18,3909,472,12.1,0,159,3278
2026-04-19,2026-04-19,1662,261,15.7,0,45,1356
2026-04-20,2026-04-20,1219,119,9.8,2,40,1058
2026-04-21,2026-04-21,1828,218,11.9,0,59,1551
2026-04-22,2026-04-22,1308,219,16.7,0,38,1051
2026-04-23,2026-04-23,2944,391,13.3,0,85,2468
2026-04-24,2026-04-24,3851,554,14.4,0,165,3132
2026-04-25,2026-04-25,4588,585,12.8,0,178,3825
2026-04-26,2026-04-26,4473,612,13.7,0,159,3702
2026-04-27,2026-04-27,5286,769,14.5,61,198,4258
2026-04-28,2026-04-28,7528,1114,14.8,42,255,6117
2026-04-29,2026-04-29,7964,1135,14.3,13,264,6552
2026-04-30,2026-04-30,8092,1107,13.7,81,299,6605
2026-05-01,2026-05-01,7151,1085,15.2,38,234,5794
2026-05-02,2026-05-02,4129,748,18.1,38,130,3213
2026-05-03,2026-05-03,3055,369,12.1,45,157,2484
2026-05-04,2026-05-04,7645,1074,14.0,22,249,6300
2026-05-05,2026-05-05,3849,634,16.5,81,126,3008
2026-05-06,2026-05-06,3195,519,16.2,23,91,2562
2026-05-07,2026-05-07,6401,1021,16.0,24,194,5162
2026-05-08,2026-05-08,4339,668,15.4,9,160,3502
2026-05-09,2026-05-09,6130,856,14.0,46,277,4951
2026-05-10,2026-05-10,5985,962,16.1,73,226,4724
2026-05-11,2026-05-11,4100,708,17.3,81,127,3184
2026-05-12,2026-05-12,3553,553,15.6,105,125,2770
2026-05-13,2026-05-13,2606,404,15.5,61,69,2072
2026-05-14,2026-05-14,3847,686,17.8,106,114,2941
2026-05-15,2026-05-15,4184,810,19.4,128,118,3128
